employee_id,name,role,skills,experience_years,current_workload_percent
EMP0001,Employee_1,Backend Developer,TensorFlow;SQL;APIs;Pandas,11,38
EMP0002,Employee_2,ML Engineer,Node.js;APIs;SQL;Pandas;VectorDB,6,32
EMP0003,Employee_3,AI Engineer,Kubernetes;LangChain;PyTorch,5,90
EMP0004,Employee_4,Backend Developer,Node.js;Pandas;LLM;APIs;RAG,4,51
EMP0005,Employee_5,ML Engineer,LLM;Pandas;PyTorch,2,87
EMP0006,Employee_6,ML Engineer,PyTorch;Pandas;APIs;TensorFlow,10,83
EMP0007,Employee_7,Backend Developer,APIs;RAG;TensorFlow;Python;VectorDB;LLM,5,28
EMP0008,Employee_8,AI Engineer,LLM;Docker;React;APIs;RAG;VectorDB,11,64
EMP0009,Employee_9,DevOps Engineer,PyTorch;React;TensorFlow;Docker;LLM;Pandas,8,46
EMP0010,Employee_10,Data Engineer,LLM;React;Node.js,1,78
EMP0011,Employee_11,ML Engineer,Node.js;Python;React;Pandas;Kubernetes,3,61
EMP0012,Employee_12,Backend Developer,SQL;APIs;Pandas;VectorDB;React,4,26
EMP0013,Employee_13,Frontend Developer,Python;SQL;RAG;Node.js;LLM,8,87
EMP0014,Employee_14,ML Engineer,Python;PyTorch;SQL,6,46
EMP0015,Employee_15,Backend Developer,APIs;LangChain;RAG;TensorFlow;LLM;Docker,1,86
EMP0016,Employee_16,ML Engineer,Node.js;Kubernetes;PyTorch;VectorDB;Docker,2,65
EMP0017,Employee_17,Backend Developer,LangChain;Kubernetes;Docker;React;SQL;Python,8,49
EMP0018,Employee_18,Frontend Developer,Node.js;TensorFlow;APIs;Docker;Pandas;RAG,8,36
EMP0019,Employee_19,Frontend Developer,RAG;VectorDB;Docker;Pandas,10,66
EMP0020,Employee_20,Backend Developer,Python;PyTorch;RAG;VectorDB;LLM;Kubernetes,12,27
EMP0021,Employee_21,Data Scientist,Docker;React;TensorFlow;APIs;Pandas;LangChain,1,85
EMP0022,Employee_22,AI Engineer,LangChain;LLM;RAG,2,84
